Filename, # of times changed, Code Churn
hibernate-entitymanager/src/test/java/org/hibernate/jpa/test/jee/OrmVersionTest.java, 2, 380
hibernate-entitymanager/src/test/java/org/hibernate/jpa/test/graphs/queryhint/QueryHintEntityGraphTest.java, 2, 928
hibernate-entitymanager/src/test/java/org/hibernate/jpa/test/graphs/named/subgraph/SubgraphOrmNamedEntityGraphTest.java, 2, 100
hibernate-entitymanager/src/test/java/org/hibernate/jpa/test/emops/Mail.java, 2, 78
hibernate-entitymanager/src/test/java/org/hibernate/jpa/test/ejb3configuration/id/FunkyIdentifierGeneratorProvider.java, 2, 80
hibernate-entitymanager/src/test/java/org/hibernate/jpa/test/ejb3configuration/id/FunkyIdGenerator.java, 2, 80
hibernate-entitymanager/src/test/java/org/hibernate/jpa/test/ejb3configuration/PersisterClassProviderTest.java, 2, 1430
hibernate-entitymanager/src/test/java/org/hibernate/jpa/test/ejb3configuration/InterceptorTest.java, 2, 492
hibernate-entitymanager/src/test/java/org/hibernate/jpa/test/ejb3configuration/EntityManagerSerializationTest.java, 2, 252
hibernate-entitymanager/src/test/java/org/hibernate/jpa/test/ejb3configuration/EntityManagerFactorySerializationTest.java, 2, 312
hibernate-entitymanager/src/test/java/org/hibernate/jpa/test/criteria/selectcase/SelectCaseTest.java, 2, 294
hibernate-entitymanager/src/test/java/org/hibernate/jpa/test/criteria/paths/SingularAttributeJoinTest.java, 2, 518
hibernate-entitymanager/src/test/java/org/hibernate/jpa/test/criteria/basic/ExpressionsTest.java, 2, 712
hibernate-entitymanager/src/test/java/org/hibernate/jpa/test/criteria/basic/Date3Type.java, 2, 314
hibernate-entitymanager/src/test/java/org/hibernate/jpa/test/criteria/QueryBuilderTest.java, 2, 620
hibernate-entitymanager/src/test/java/org/hibernate/jpa/test/criteria/EntitySuperclassCollectionTest.java, 2, 234
hibernate-entitymanager/src/test/java/org/hibernate/jpa/test/connection/PersistenceUnitInfoImpl.java, 2, 276
hibernate-entitymanager/src/test/java/org/hibernate/jpa/test/connection/DataSourceInjectionTest.java, 2, 160
hibernate-entitymanager/src/test/java/org/hibernate/jpa/test/cascade/FetchTest.java, 2, 502
hibernate-entitymanager/src/test/java/org/hibernate/jpa/test/cacheable/cachemodes/SharedCacheModesTest.java, 2, 312
hibernate-entitymanager/src/main/java/org/hibernate/jpa/spi/BaseQueryImpl.java, 2, 4604
hibernate-entitymanager/src/main/java/org/hibernate/jpa/spi/AbstractQueryImpl.java, 2, 1658
hibernate-entitymanager/src/main/java/org/hibernate/jpa/spi/AbstractEntityManagerImpl.java, 2, 5312
hibernate-entitymanager/src/main/java/org/hibernate/jpa/internal/QueryImpl.java, 2, 3848
hibernate-core/src/test/java/org/hibernate/test/type/Java8DateTimeTests.java, 2, 205
hibernate-core/src/test/java/org/hibernate/test/tm/TransactionTimeoutTest.java, 2, 182
hibernate-core/src/test/java/org/hibernate/test/sql/hand/query/NativeSQLQueriesTest.java, 2, 2853
hibernate-core/src/test/java/org/hibernate/test/schemaupdate/foreignkeys/crossschema/CrossSchemaForeignKeyGenerationTest.java, 2, 445
hibernate-core/src/test/java/org/hibernate/test/schemaupdate/SchemaUpdateTableBackedSequenceTest.java, 2, 244
hibernate-core/src/test/java/org/hibernate/test/schemaupdate/SchemaUpdateFormatterTest.java, 2, 169
hibernate-core/src/test/java/org/hibernate/test/manytomanyassociationclass/surrogateid/generated/ManyToManyAssociationClassGeneratedIdTest.java, 2, 744
hibernate-core/src/test/java/org/hibernate/test/loadplans/plans/LoadPlanStructureAssertionTest.java, 2, 586
hibernate-core/src/test/java/org/hibernate/test/legacy/MasterDetailTest.java, 2, 3805
hibernate-core/src/test/java/org/hibernate/test/legacy/CustomPersister.java, 2, 2415
hibernate-core/src/test/java/org/hibernate/test/jpa/naturalid/ImmutableNaturalIdTest.java, 2, 993
hibernate-core/src/test/java/org/hibernate/test/jdbc/internal/BatchingTest.java, 2, 392
hibernate-core/src/test/java/org/hibernate/test/id/uuid/interpretation/UUIDBasedIdInterpretationTest.java, 2, 146
hibernate-core/src/test/java/org/hibernate/test/hql/HQLTest.java, 2, 5098
hibernate-core/src/test/java/org/hibernate/test/hql/ASTParserLoadingTest.java, 2, 10565
hibernate-core/src/test/java/org/hibernate/test/connections/ThreadLocalCurrentSessionTest.java, 2, 278
hibernate-core/src/test/java/org/hibernate/test/bytecode/enhancement/lazy/HHH_10708/UnexpectedDeleteOneTestTask.java, 2, 202
hibernate-core/src/test/java/org/hibernate/test/bytecode/enhancement/EnhancerTest.java, 2, 1848
hibernate-core/src/test/java/org/hibernate/test/annotations/onetoone/OptionalOneToOnePKJCTest.java, 2, 207
hibernate-core/src/test/java/org/hibernate/test/annotations/immutable/ImmutableTest.java, 2, 809
hibernate-core/src/test/java/org/hibernate/test/annotations/entity/BasicHibernateAnnotationsTest.java, 2, 2457
hibernate-core/src/test/java/org/hibernate/jpa/test/schemagen/SchemaScriptFileGenerationTest.java, 2, 123
hibernate-core/src/test/java/org/hibernate/jpa/test/packaging/PackagedEntityManagerTest.java, 2, 517
hibernate-core/src/test/java/org/hibernate/jpa/test/lock/QueryLockingTest.java, 2, 469
hibernate-core/src/test/java/org/hibernate/jpa/test/criteria/selectcase/SelectCaseTest.java, 2, 144
hibernate-core/src/test/java/org/hibernate/jpa/test/criteria/EntitySuperclassCollectionTest.java, 2, 136
hibernate-core/src/test/java/org/hibernate/jpa/test/cdi/NoCdiAvailableTest.java, 2, 185
hibernate-core/src/test/java/org/hibernate/jpa/test/beanvalidation/CupHolder.java, 2, 61
hibernate-core/src/test/java/org/hibernate/jpa/test/beanvalidation/BeanValidationTest.java, 2, 108
hibernate-core/src/main/java/org/hibernate/type/descriptor/WrapperOptionsContext.java, 2, 37
hibernate-core/src/main/java/org/hibernate/type/ZonedDateTimeType.java, 2, 74
hibernate-core/src/main/java/org/hibernate/type/OffsetDateTimeType.java, 2, 73
hibernate-core/src/main/java/org/hibernate/type/LocalDateTimeType.java, 2, 75
hibernate-core/src/main/java/org/hibernate/type/InstantType.java, 2, 77
hibernate-core/src/main/java/org/hibernate/type/EnumType.java, 2, 1380
hibernate-core/src/main/java/org/hibernate/type/AnyType.java, 2, 1141
hibernate-core/src/main/java/org/hibernate/tuple/entity/EntityMetamodel.java, 2, 3726
