File,post_release_bugs
hibernate-core/src/main/java/org/hibernate/boot/model/source/internal/hbm/PluralAttributeElementSourceManyToManyImpl.java,1
hibernate-core/src/test/java/org/hibernate/test/batchfetch/BatchFetchNotFoundIgnorePaddedStyleTest.java,1
hibernate-core/src/main/java/org/hibernate/query/procedure/internal/ProcedureParameterBindingImpl.java,1
hibernate-core/src/test/java/org/hibernate/jpa/test/ops/GetLoadJpaComplianceDifferentSessionsTest.java,1
hibernate-core/src/main/java/org/hibernate/dialect/MySQL5Dialect.java,1
hibernate-core/src/test/java/org/hibernate/test/bulkid/CteValuesListBulkIdTest.java,1
hibernate-spatial/src/main/java/org/hibernate/spatial/dialect/postgis/PostgisPG92Dialect.java,1
hibernate-core/src/main/java/org/hibernate/internal/util/xml/FilteringXMLEventReader.java,1
hibernate-core/src/main/java/org/hibernate/persister/collection/OneToManyPersister.java,1
hibernate-core/src/main/java/org/hibernate/engine/query/spi/NativeSQLQueryPlan.java,2
hibernate-testing/src/main/java/org/hibernate/testing/util/ExceptionUtil.java,1
hibernate-core/src/main/java/org/hibernate/query/criteria/internal/predicate/CompoundPredicate.java,1
hibernate-spatial/src/test/java/org/hibernate/spatial/jts/TestCircle.java,1
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/functional/AbstractNonInvalidationTest.java,2
hibernate-core/src/main/java/org/hibernate/hql/internal/ast/tree/IdentNode.java,1
hibernate-core/src/main/java/org/hibernate/tool/schema/internal/exec/JdbcConnectionContextSharedImpl.java,1
hibernate-core/src/main/java/org/hibernate/engine/internal/TwoPhaseLoad.java,4
hibernate-core/src/test/java/org/hibernate/test/bytecode/enhancement/dirty/ParentChildEntity.java,1
hibernate-core/src/test/java/org/hibernate/jpa/test/criteria/Attribute.java,1
hibernate-core/src/test/java/org/hibernate/test/schemaupdate/foreignkeys/ForeignKeyDropTest.java,1
hibernate-core/src/main/java/org/hibernate/proxy/ProxyFactory.java,1
hibernate-core/src/main/java/org/hibernate/jpa/event/spi/jpa/CallbackBuilder.java,1
hibernate-core/src/main/java/org/hibernate/sql/JoinFragment.java,1
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/ids/embeddedid/IncorrectChild.java,1
