id,TryStartLine,TryEndLine,TryLOC,CatchStartLine,CatchEndLine,CatchLOC,CatchStart,CatchLength,MethodStartLine,MethodEndLine,MethodLOC,Binded,RecoveredBinding,Kind,Checked,ParentNodeType,RecoverFlag,InnerCatch,ParentTryStartLine,Logged,MultiLog,Abort,Default,GetCause,OtherInvocation,NumThrown,NumThrowNew,NumThrowWrapCurrentException,Return,Continue,EmptyBlock,CatchException,FinallyThrowing,NumDistinctMethods,NumMethodsNotBinded,NumDistinctExceptions,NumSpecificHandler,NumSubsumptionHandler,NumSupersumptionHandler,NumOtherHandler,MaxLevel,NumIsBindingInfo,NumIsDocSemantic,NumIsDocSyntax,NumIsThrow,ToDo,ExceptionType,ParentMethod,ParentType,Filename,StartLine
2206,24,28,2,31,34,1,827,40,22,47,20,1,1,-9,0,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,1,0,0,0,0,0,"Exception","testWrongIdType()","org.hibernate.jpa.test.emops.GetReferenceTest","hibernate-core\src\test\java\org\hibernate\jpa\test\emops\GetReferenceTest.java",31
2207,35,39,2,42,45,1,1044,40,22,47,20,1,1,-9,0,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,1,0,0,0,0,0,"Exception","testWrongIdType()","org.hibernate.jpa.test.emops.GetReferenceTest","hibernate-core\src\test\java\org\hibernate\jpa\test\emops\GetReferenceTest.java",42
2208,126,131,3,134,137,1,4369,60,117,140,20,1,1,-9,0,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,1,0,0,0,0,0,"Exception","testRemoveAndMerge()","org.hibernate.jpa.test.emops.MergeTest","hibernate-core\src\test\java\org\hibernate\jpa\test\emops\MergeTest.java",134
2209,65,70,2,70,75,3,1881,69,54,101,37,1,1,-9,0,31,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,4,3,0,0,0,0,0,1,0,0,0,0,0,"Exception","testUpdatedAndRemove()","org.hibernate.jpa.test.emops.RemoveTest","hibernate-core\src\test\java\org\hibernate\jpa\test\emops\RemoveTest.java",70
2210,45,51,4,51,55,2,1614,53,36,78,36,1,1,-9,0,31,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,6,4,0,0,0,0,0,1,0,0,0,0,0,"Exception","testOptimisticLockingException()","org.hibernate.jpa.test.exception.ExceptionTest","hibernate-core\src\test\java\org\hibernate\jpa\test\exception\ExceptionTest.java",51
2211,61,66,2,70,73,1,1965,61,36,78,36,1,1,-9,0,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,1,0,0,0,0,0,"Exception","testOptimisticLockingException()","org.hibernate.jpa.test.exception.ExceptionTest","hibernate-core\src\test\java\org\hibernate\jpa\test\exception\ExceptionTest.java",70
2212,103,107,2,107,110,0,2700,46,91,127,29,1,1,-9,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,0,0,0,0,1,0,0,0,0,0,"Exception","testCreateException()","org.hibernate.jpa.test.ops.PersistTest","hibernate-core\src\test\java\org\hibernate\jpa\test\ops\PersistTest.java",107
2213,47,62,10,62,66,2,1664,52,44,68,19,1,1,-9,0,31,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,8,6,0,0,0,0,0,1,0,0,0,0,0,"Exception","testManyToOne()","org.hibernate.jpa.test.ops.RemoveOrderingTest","hibernate-core\src\test\java\org\hibernate\jpa\test\ops\RemoveOrderingTest.java",62
2214,610,639,22,639,645,4,20285,132,604,649,37,1,1,-9,0,31,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,24,22,0,0,0,0,0,1,0,0,0,0,0,"Exception","testMultipleParameterLists()","org.hibernate.jpa.test.query.QueryTest","hibernate-core\src\test\java\org\hibernate\jpa\test\query\QueryTest.java",639
2215,655,676,12,676,682,4,21565,132,652,686,25,1,1,-9,0,31,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,13,13,0,0,0,0,0,1,0,0,0,0,0,"Exception","testCacheStoreAndRetrieveModeParameter()","org.hibernate.jpa.test.query.QueryTest","hibernate-core\src\test\java\org\hibernate\jpa\test\query\QueryTest.java",676
